Кол-во элементов;Среднее;Интервал
400;159.2;(153.3513526868642, 165.04864731313577)
800;1314.5;(1295.8938432848743, 1333.1061567151257)
1200;4644.4;(4549.681775024354, 4739.118224975646)
1600;15203;(13158.850232001798, 17247.149767998202)
2000;46251.5;(28732.17434901045, 63770.82565098955)
