Кол-во элементов;Среднее;Интервал
400;103.3;(97.84105650161779, 108.75894349838221)
800;686.6;(675.6613011524821, 697.5386988475179)
1200;2402.2;(2352.7008399661518, 2451.699160033848)
1600;7095.9;(6819.446983768007, 7372.353016231992)
2000;17824.1;(17600.306080152317, 18047.89391984768)
