Кол-во элементов;Среднее;Интервал
400;40.9;(28.136897615734785, 53.663102384265216)
800;419.1;(366.1577353865435, 472.04226461345655)
1200;1462.9;(1437.265656644528, 1488.5343433554722)
1600;3965.6;(3613.101647101005, 4318.0983528989955)
2000;20020.1;(16430.383758336797, 23609.8162416632)
