Кол-во элементов;Среднее;Интервал
400;42.4;(35.197319381411454, 49.60268061858854)
800;484;(435.55015365065367, 532.4498463493463)
1200;1806.1;(1734.5162773912305, 1877.6837226087694)
1600;4578.7;(4476.792923392529, 4680.607076607471)
2000;11916.9;(11528.338707009572, 12305.461292990427)
