Кол-во элементов;Среднее;Интервал
400;171.8;(147.12323958369385, 196.47676041630618)
800;926.5;(801.8588809998563, 1051.1411190001438)
1200;2695.2;(2359.778240384632, 3030.6217596153674)
1600;7129.7;(6377.914833170912, 7881.485166829088)
2000;20071.3;(17493.188137011104, 22649.411862988894)
